Asset,Asset Class,Mode,Frequency,Sharpe,Win Rate %,vs B&H %,Trades/yr,Max Drawdown %,Total Return %,B&H Return %
JNJ,stock,Realistic,Monthly,1.89,75.9,-23.04,11,4.31,32.94,55.98
JNJ,stock,Signal-Only,Daily,0.00,73.2,-55.98,0,0.00,0.00,55.98
JNJ,stock,Signal-Only,Weekly,0.00,71.2,-55.98,0,0.00,0.00,55.98
JNJ,stock,Signal-Only,Monthly,0.00,75.9,-55.98,0,0.00,0.00,55.98
UNH,stock,Academic,Daily,4.43,67.9,840.30,43,15.91,793.52,-46.78
UNH,stock,Academic,Weekly,3.52,68.4,487.53,25,9.46,440.75,-46.78
UNH,stock,Academic,Monthly,-0.64,60.7,0.15,6,57.46,-46.63,-46.78
UNH,stock,Realistic,Daily,4.40,67.9,636.15,120,10.92,589.38,-46.78
UNH,stock,Realistic,Weekly,0.16,68.4,45.49,40,45.07,-1.28,-46.78
UNH,stock,Realistic,Monthly,-0.80,60.7,-1.40,10,56.48,-48.18,-46.78
UNH,stock,Signal-Only,Daily,0.00,67.9,46.78,0,0.00,0.00,-46.78
UNH,stock,Signal-Only,Weekly,0.00,68.4,46.78,0,0.00,0.00,-46.78
UNH,stock,Signal-Only,Monthly,0.00,60.7,46.78,0,0.00,0.00,-46.78
LLY,stock,Academic,Daily,5.39,72.6,1923.27,47,5.30,1977.97,54.70
LLY,stock,Academic,Weekly,3.85,76.8,857.32,23,7.79,912.02,54.70
LLY,stock,Academic,Monthly,1.42,66.7,46.66,7,24.82,101.36,54.70
LLY,stock,Realistic,Daily,4.77,72.6,1147.64,116,3.92,1202.35,54.70
LLY,stock,Realistic,Weekly,1.69,76.8,92.08,39,15.25,146.78,54.70
LLY,stock,Realistic,Monthly,1.09,66.7,-0.61,10,17.91,54.09,54.70
LLY,stock,Signal-Only,Daily,0.00,72.6,-54.70,0,0.00,0.00,54.70
LLY,stock,Signal-Only,Weekly,0.00,76.8,-54.70,0,0.00,0.00,54.70
LLY,stock,Signal-Only,Monthly,0.00,66.7,-54.70,0,0.00,0.00,54.70
PFE,stock,Academic,Daily,4.94,71.5,580.25,41,3.34,568.54,-11.72
PFE,stock,Academic,Weekly,3.25,71.9,301.20,21,5.68,289.49,-11.72
PFE,stock,Academic,Monthly,0.79,90.5,45.45,4,12.92,33.74,-11.72
PFE,stock,Realistic,Daily,4.14,71.5,365.84,107,3.40,354.13,-11.72
PFE,stock,Realistic,Weekly,1.26,71.9,61.67,36,9.54,49.96,-11.72
PFE,stock,Realistic,Monthly,0.73,90.5,30.43,6,8.71,18.72,-11.72
PFE,stock,Signal-Only,Daily,0.00,71.5,11.72,0,0.00,0.00,-11.72
PFE,stock,Signal-Only,Weekly,0.00,71.9,11.72,0,0.00,0.00,-11.72
PFE,stock,Signal-Only,Monthly,0.00,90.5,11.72,0,0.00,0.00,-11.72
MRNA,stock,Academic,Daily,5.63,73.8,26171.29,48,8.14,26138.24,-33.05
MRNA,stock,Academic,Weekly,3.60,76.1,3500.41,25,17.46,3467.36,-33.05
MRNA,stock,Academic,Monthly,1.07,89.7,183.25,7,44.23,150.20,-33.05
MRNA,stock,Realistic,Daily,4.52,73.8,7289.08,123,9.52,7256.03,-33.05
MRNA,stock,Realistic,Weekly,1.86,76.1,342.54,41,25.74,309.49,-33.05
MRNA,stock,Realistic,Monthly,0.59,89.7,65.70,11,36.97,32.65,-33.05
MRNA,stock,Signal-Only,Daily,0.00,73.8,33.05,0,0.00,0.00,-33.05
MRNA,stock,Signal-Only,Weekly,0.00,76.1,33.05,0,0.00,0.00,-33.05
MRNA,stock,Signal-Only,Monthly,0.00,89.7,33.05,0,0.00,0.00,-33.05
